timestamp,xray_flux_short,xray_flux_long,magnetic_field,sunspot_number,solar_wind_speed,proton_flux,flare_class
1/1/20 0:00,4.69E-07,2.11E-06,128.262548,48,528.850161,0.328307543,No Flare
1/1/20 1:00,3.01E-06,3.40E-08,28.78550617,61,470.8701092,0.064014533,C-class
1/1/20 2:00,1.32E-06,8.07E-07,149.8244978,38,487.5514029,0.902898526,C-class
1/1/20 3:00,9.13E-07,1.38E-07,87.98535797,49,388.7985286,2.075283211,No Flare
1/1/20 4:00,1.70E-07,1.10E-07,100.7677241,61,561.4030308,0.708938501,No Flare
1/1/20 5:00,1.70E-07,5.91E-07,104.9000802,44,356.5634443,1.361689806,No Flare
1/1/20 6:00,5.98E-08,2.26E-08,91.04652152,45,393.4078633,0.084680676,No Flare
1/1/20 7:00,2.01E-06,3.11E-07,140.1851859,47,419.5072636,1.626425497,C-class
1/1/20 8:00,9.19E-07,7.23E-10,179.7400905,39,266.7265529,0.199417795,No Flare
1/1/20 9:00,1.23E-06,4.04E-07,142.8487918,72,422.2794104,2.73152643,C-class
1/1/20 10:00,2.08E-08,3.10E-07,103.2961426,45,394.7107295,2.982759737,No Flare
1/1/20 11:00,3.50E-06,1.24E-06,46.69870144,65,421.7096219,0.398737578,C-class
1/1/20 12:00,1.79E-06,6.37E-07,101.977682,48,396.8967951,1.458546196,C-class
1/1/20 13:00,2.39E-07,6.73E-08,96.13818015,48,532.6797508,7.048921353,No Flare
1/1/20 14:00,2.01E-07,2.19E-07,141.223878,49,262.564515,0.160470873,No Flare
1/1/20 15:00,2.03E-07,1.34E-06,67.77198289,49,463.2149993,1.657389075,No Flare
1/1/20 16:00,3.63E-07,6.46E-07,55.59647159,55,368.1424172,1.779124258,No Flare
1/1/20 17:00,7.44E-07,4.51E-07,114.9197414,56,402.8367382,0.300501407,No Flare
1/1/20 18:00,5.66E-07,4.09E-07,146.0187859,54,249.3680814,0.493991135,No Flare
1/1/20 19:00,3.44E-07,2.54E-07,107.6459886,42,400.6463257,0.5235244,No Flare
1/1/20 20:00,9.46E-07,4.40E-07,148.3173234,46,392.6525657,1.241675698,No Flare
1/1/20 21:00,1.50E-07,7.38E-07,36.20438776,42,189.6229872,0.082658445,No Flare
1/1/20 22:00,3.46E-07,6.82E-08,123.6759983,58,409.91002,0.640160032,No Flare
1/1/20 23:00,4.56E-07,1.75E-06,35.90599315,57,424.8127316,1.076980138,No Flare
1/2/20 0:00,6.09E-07,1.37E-07,233.3657497,55,97.73503778,0.132901961,No Flare
1/2/20 1:00,1.54E-06,2.97E-07,167.0383449,47,487.1625689,0.610683647,C-class
1/2/20 2:00,2.23E-07,1.15E-08,119.2499474,41,370.2475584,0.638785615,No Flare
1/2/20 3:00,7.22E-07,4.00E-07,19.80387273,49,472.9137909,0.056154537,No Flare
1/2/20 4:00,8.98E-07,2.41E-07,31.24605436,58,407.4184212,2.597330722,No Flare
1/2/20 5:00,4.76E-08,1.44E-07,194.7712408,57,608.7327266,0.396050744,No Flare
1/2/20 6:00,9.35E-07,2.12E-06,42.11914253,47,396.5906096,1.083778765,No Flare
1/2/20 7:00,1.87E-07,2.79E-07,125.0069587,58,460.0976238,1.111655433,No Flare
1/2/20 8:00,6.73E-08,2.67E-07,191.1666422,57,464.3739327,0.381560014,No Flare
1/2/20 9:00,2.97E-06,3.11E-07,105.2963985,46,241.5489325,0.564018358,C-class
1/2/20 10:00,3.37E-06,6.17E-08,40.25068701,48,364.6000957,0.209905181,C-class
1/2/20 11:00,1.65E-06,2.50E-07,11.23434452,48,252.647521,0.374341172,C-class
1/2/20 12:00,3.63E-07,2.05E-07,119.1418762,59,308.8872861,1.492226951,No Flare
1/2/20 13:00,1.03E-07,3.13E-07,44.8019342,50,463.4863775,2.823486254,No Flare
1/2/20 14:00,1.15E-06,9.71E-07,100.1143495,48,565.8714913,0.308395067,C-class
1/2/20 15:00,5.80E-07,1.07E-07,46.7329885,50,485.8175811,1.34156007,No Flare
1/2/20 16:00,1.30E-07,4.68E-07,69.92786679,48,345.4438534,1.811396107,No Flare
1/2/20 17:00,6.84E-07,1.92E-08,71.52968975,45,374.8356088,2.827216608,No Flare
1/2/20 18:00,3.50E-08,1.90E-07,86.93838007,58,391.9050589,0.714823029,No Flare
1/2/20 19:00,2.40E-06,3.20E-07,62.98006989,56,336.6395706,0.576932235,C-class
1/2/20 20:00,2.99E-07,3.86E-08,114.2390716,63,532.6297937,0.109372876,No Flare
1/2/20 21:00,1.09E-06,3.93E-07,149.8659455,40,259.0619822,0.090554816,C-class
1/2/20 22:00,3.74E-07,1.86E-07,81.98890501,47,563.2933917,0.505354903,No Flare
1/2/20 23:00,7.34E-07,2.47E-06,113.0427704,50,432.9967184,1.16875215,No Flare
1/3/20 0:00,7.91E-07,4.98E-07,53.23819037,51,384.0976097,0.781836521,No Flare
1/3/20 1:00,2.04E-07,1.40E-07,21.62597247,34,428.7413862,0.100778583,No Flare
1/3/20 2:00,3.49E-06,5.42E-08,120.0842533,49,388.547051,0.048387875,C-class
1/3/20 3:00,1.49E-06,2.08E-08,143.9816866,53,371.9177791,0.996995753,C-class
1/3/20 4:00,2.81E-06,4.76E-08,4.31918695,56,453.9050259,0.14565104,C-class
1/3/20 5:00,2.25E-06,5.70E-07,95.43385369,48,341.2327163,1.438291378,C-class
1/3/20 6:00,9.11E-07,9.65E-07,121.6118045,50,399.365294,1.319327659,No Flare
1/3/20 7:00,2.55E-06,8.52E-08,114.467263,55,327.1297782,1.367294395,C-class
1/3/20 8:00,9.27E-08,2.57E-07,70.49531144,53,469.3083297,1.487291003,No Flare
1/3/20 9:00,2.18E-07,2.19E-07,102.3788984,43,504.47279,0.422306866,No Flare
1/3/20 10:00,4.63E-08,5.17E-07,146.3191995,51,348.3823188,0.80001966,No Flare
1/3/20 11:00,3.94E-07,1.01E-07,57.00831272,40,329.1516788,3.644896167,No Flare
1/3/20 12:00,4.92E-07,1.53E-06,177.7432069,40,419.9718726,1.404419574,No Flare
1/3/20 13:00,3.17E-07,6.52E-07,30.60402112,47,466.6936819,2.088494478,No Flare
1/3/20 14:00,1.76E-06,1.55E-06,144.8888003,47,464.7686963,1.607257432,C-class
1/3/20 15:00,4.41E-07,1.62E-07,102.6997941,52,480.7590032,0.170164247,No Flare
1/3/20 16:00,3.30E-07,4.43E-07,74.26131466,39,509.4512754,0.123076624,No Flare
1/3/20 17:00,7.82E-07,6.59E-07,7.909220977,60,403.0105274,0.840886033,No Flare
