hour,timestamp,flare_probability,no_flare_probability,flare_class
0,2026-02-01T20:04:29.588767+00:00,0.0654,0.9346,B
1,2026-02-01T21:04:29.588767+00:00,0.1385,0.8615,B
2,2026-02-01T22:04:29.588767+00:00,0.2248,0.7752,B
3,2026-02-01T23:04:29.588767+00:00,0.1406,0.8594,B
4,2026-02-02T00:04:29.588767+00:00,0.2452,0.7548,B
5,2026-02-02T01:04:29.588767+00:00,0.0394,0.9606,B
6,2026-02-02T02:04:29.588767+00:00,0.0136,0.9864,B
7,2026-02-02T03:04:29.588767+00:00,0.0495,0.9505,B
8,2026-02-02T04:04:29.588767+00:00,0.2147,0.7853,B
9,2026-02-02T05:04:29.588767+00:00,0.1427,0.8573,B
10,2026-02-02T06:04:29.588767+00:00,0.2254,0.7746,B
11,2026-02-02T07:04:29.588767+00:00,0.0547,0.9453,B
12,2026-02-02T08:04:29.588767+00:00,0.451,0.549,C
13,2026-02-02T09:04:29.588767+00:00,0.2088,0.7912,B
14,2026-02-02T10:04:29.588767+00:00,0.5172,0.4828,C
15,2026-02-02T11:04:29.588767+00:00,0.372,0.628,B
16,2026-02-02T12:04:29.588767+00:00,0.1066,0.8934,B
17,2026-02-02T13:04:29.588767+00:00,0.3721,0.6279,B
18,2026-02-02T14:04:29.588767+00:00,0.2406,0.7594,B
19,2026-02-02T15:04:29.588767+00:00,0.0373,0.9627,B
20,2026-02-02T16:04:29.588767+00:00,0.1033,0.8967,B
21,2026-02-02T17:04:29.588767+00:00,0.0986,0.9014,B
22,2026-02-02T18:04:29.588767+00:00,0.1584,0.8416,B
23,2026-02-02T19:04:29.588767+00:00,0.0631,0.9369,B
